message_id,channel_name,image_path,detected_objects,confidence_score,image_category
10,CheMed123,data\raw\images\CheMed123\10.jpg,,0.0,other
11,CheMed123,data\raw\images\CheMed123\11.jpg,clock,0.4273,other
13,CheMed123,data\raw\images\CheMed123\13.jpg,"hot dog,donut,hot dog,donut,hot dog,hot dog",0.5039,other
14,CheMed123,data\raw\images\CheMed123\14.jpg,,0.0,other
15,CheMed123,data\raw\images\CheMed123\15.jpg,,0.0,other
17,CheMed123,data\raw\images\CheMed123\17.jpg,"bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle",0.526,product_display
18,CheMed123,data\raw\images\CheMed123\18.jpg,,0.0,other
19,CheMed123,data\raw\images\CheMed123\19.jpg,"person,person,dining table,dining table",0.9401,lifestyle
2,CheMed123,data\raw\images\CheMed123\2.jpg,bottle,0.3872,product_display
20,CheMed123,data\raw\images\CheMed123\20.jpg,"person,person,dining table,dining table",0.9401,lifestyle
21,CheMed123,data\raw\images\CheMed123\21.jpg,bird,0.2526,other
22,CheMed123,data\raw\images\CheMed123\22.jpg,stop sign,0.2775,other
23,CheMed123,data\raw\images\CheMed123\23.jpg,cell phone,0.6107,other
25,CheMed123,data\raw\images\CheMed123\25.jpg,"cell phone,person",0.8613,lifestyle
26,CheMed123,data\raw\images\CheMed123\26.jpg,"person,cup,book,book",0.8276,promotional
27,CheMed123,data\raw\images\CheMed123\27.jpg,,0.0,other
29,CheMed123,data\raw\images\CheMed123\29.jpg,"person,surfboard,person,person",0.6185,lifestyle
3,CheMed123,data\raw\images\CheMed123\3.jpg,,0.0,other
30,CheMed123,data\raw\images\CheMed123\30.jpg,person,0.4139,lifestyle
31,CheMed123,data\raw\images\CheMed123\31.jpg,"bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle",0.5125,product_display
32,CheMed123,data\raw\images\CheMed123\32.jpg,person,0.5882,lifestyle
33,CheMed123,data\raw\images\CheMed123\33.jpg,"orange,orange,book",0.6712,other
